Al,Si,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Tm,delta,To,t,n,k,kinetics,reference,protective_sum,risk_sum,Al_Cr_interaction,thermal_dose,kinetics_class,log10_k
0.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,2641.4,0.0281690140845069,1200,48,1.0,22.0,Linear,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (TiNbMoTaW oxidation data)",0.0,0.0,0.0,57600,0,1.3424226808222062
0.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,2641.4,0.0281690140845069,1300,1,1.0,45.0,Linear,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (TiNbMoTaW oxidation data)",0.0,0.0,0.0,1300,0,1.6532125137753437
0.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,2641.4,0.0281690140845069,1300,12,1.0,45.0,Linear,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (TiNbMoTaW oxidation data)",0.0,0.0,0.0,15600,0,1.6532125137753437
0.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,2641.4,0.0281690140845069,1300,24,1.0,45.0,Linear,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (TiNbMoTaW oxidation data)",0.0,0.0,0.0,31200,0,1.6532125137753437
20.0,0.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,1724.4640000000002,0.0495060582709874,900,1,1.2,45.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (AlTiVCrNb oxidation data)",40.0,20.0,400.0,900,0,1.6532125137753437
20.0,0.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,1724.4640000000002,0.0495060582709874,900,25,1.2,45.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (AlTiVCrNb oxidation data)",40.0,20.0,400.0,22500,0,1.6532125137753437
20.0,0.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,1724.4640000000002,0.0495060582709874,900,50,1.2,45.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (AlTiVCrNb oxidation data)",40.0,20.0,400.0,45000,0,1.6532125137753437
20.0,0.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,1724.4640000000002,0.0495060582709874,1000,1,1.1,85.2,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (AlTiVCrNb oxidation data)",40.0,20.0,400.0,1000,0,1.9304395947667001
20.0,0.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,1724.4640000000002,0.0495060582709874,1000,25,1.1,85.2,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (AlTiVCrNb oxidation data)",40.0,20.0,400.0,25000,0,1.9304395947667001
20.0,0.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,1724.4640000000002,0.0495060582709874,1000,50,1.1,85.2,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (AlTiVCrNb oxidation data)",40.0,20.0,400.0,50000,0,1.9304395947667001
20.0,0.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,1724.4640000000002,0.0495060582709874,1100,1,1.0,150.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (AlTiVCrNb oxidation data)",40.0,20.0,400.0,1100,0,2.1760912590556813
20.0,0.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,1724.4640000000002,0.0495060582709874,1100,24,1.0,150.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (AlTiVCrNb oxidation data)",40.0,20.0,400.0,26400,0,2.1760912590556813
20.0,0.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,1724.4640000000002,0.0495060582709874,1100,48,1.0,150.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (AlTiVCrNb oxidation data)",40.0,20.0,400.0,52800,0,2.1760912590556813
0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,2689.8,0.0347445353586265,1000,1,1.0,15.0,Linear,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (VNbMoTaW oxidation data)",0.0,20.0,0.0,1000,0,1.1760912590556813
0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,2689.8,0.0347445353586265,1000,24,1.0,15.0,Linear,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (VNbMoTaW oxidation data)",0.0,20.0,0.0,24000,0,1.1760912590556813
0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,2689.8,0.0347445353586265,1000,48,1.0,15.0,Linear,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (VNbMoTaW oxidation data)",0.0,20.0,0.0,48000,0,1.1760912590556813
0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,2689.8,0.0347445353586265,1200,1,1.0,42.0,Linear,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (VNbMoTaW oxidation data)",0.0,20.0,0.0,1200,0,1.6232492903979006
0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,2689.8,0.0347445353586265,1200,24,1.0,42.0,Linear,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (VNbMoTaW oxidation data)",0.0,20.0,0.0,28800,0,1.6232492903979006
0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,2689.8,0.0347445353586265,1200,48,1.0,42.0,Linear,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (VNbMoTaW oxidation data)",0.0,20.0,0.0,57600,0,1.6232492903979006
0.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,2169.5,0.0293506618615521,800,1,1.2,30.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVNbMo oxidation data)",0.0,25.0,0.0,800,0,1.4771212547196624
0.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,2169.5,0.0293506618615521,800,50,1.2,30.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVNbMo oxidation data)",0.0,25.0,0.0,40000,0,1.4771212547196624
0.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,2169.5,0.0293506618615521,800,100,1.2,30.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVNbMo oxidation data)",0.0,25.0,0.0,80000,0,1.4771212547196624
0.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,2169.5,0.0293506618615521,1000,1,1.0,80.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVNbMo oxidation data)",0.0,25.0,0.0,1000,0,1.9030899869919435
0.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,2169.5,0.0293506618615521,1000,50,1.0,80.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVNbMo oxidation data)",0.0,25.0,0.0,50000,0,1.9030899869919435
0.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,2169.5,0.0293506618615521,1000,100,1.0,80.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVNbMo oxidation data)",0.0,25.0,0.0,100000,0,1.9030899869919435
0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,1990.5,0.0252538136138052,800,1,1.1,25.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVCrNb oxidation data)",25.0,25.0,0.0,800,0,1.3979400086720377
0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,1990.5,0.0252538136138052,800,50,1.1,25.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVCrNb oxidation data)",25.0,25.0,0.0,40000,0,1.3979400086720377
0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,1990.5,0.0252538136138052,800,100,1.1,25.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVCrNb oxidation data)",25.0,25.0,0.0,80000,0,1.3979400086720377
0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,1990.5,0.0252538136138052,1000,1,1.0,68.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVCrNb oxidation data)",25.0,25.0,0.0,1000,0,1.8325089127062364
0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,1990.5,0.0252538136138052,1000,50,1.0,68.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVCrNb oxidation data)",25.0,25.0,0.0,50000,0,1.8325089127062364
0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,1990.5,0.0252538136138052,1000,100,1.0,68.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVCrNb oxidation data)",25.0,25.0,0.0,100000,0,1.8325089127062364
17.6,2.9,5.4,0.0,25.2,0.0,15.2,20.3,0.0,13.4,0.0,2041.10932,0.0630729087496409,1000,1,1.2,6.5,Linear,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table 1/Fig. 3 (AlSiTiCrNbMoTa at 1000°C, Linear kinetics)",45.699999999999996,0.0,443.52000000000004,1000,0,0.8129133566428556
17.6,2.9,5.4,0.0,25.2,0.0,15.2,20.3,0.0,13.4,0.0,2041.10932,0.0630729087496409,1000,100,1.2,6.5,Linear,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table 1/Fig. 3 (AlSiTiCrNbMoTa at 1000°C, Linear kinetics)",45.699999999999996,0.0,443.52000000000004,100000,0,0.8129133566428556
17.6,2.9,5.4,0.0,25.2,0.0,15.2,20.3,0.0,13.4,0.0,2041.10932,0.0630729087496409,1000,200,1.2,6.5,Linear,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table 1/Fig. 3 (AlSiTiCrNbMoTa at 1000°C, Linear kinetics)",45.699999999999996,0.0,443.52000000000004,200000,0,0.8129133566428556
17.6,2.9,5.4,0.0,25.2,0.0,15.2,20.3,0.0,13.4,0.0,2041.10932,0.0630729087496409,1300,1,1.4,15.0,Linear,"[4] Lo et al., Intermetallics 119 (2020) 106711 > Table/Fig. (AlSiTiCrNbMoTa at 1300°C, Linear kinetics)",45.699999999999996,0.0,443.52000000000004,1300,1,1.1760912590556813
17.6,2.9,5.4,0.0,25.2,0.0,15.2,20.3,0.0,13.4,0.0,2041.10932,0.0630729087496409,1300,50,1.4,15.0,Linear,"[4] Lo et al., Intermetallics 119 (2020) 106711 > Table/Fig. (AlSiTiCrNbMoTa at 1300°C, Linear kinetics)",45.699999999999996,0.0,443.52000000000004,65000,1,1.1760912590556813
17.6,2.9,5.4,0.0,25.2,0.0,15.2,20.3,0.0,13.4,0.0,2041.10932,0.0630729087496409,1300,100,1.4,15.0,Linear,"[4] Lo et al., Intermetallics 119 (2020) 106711 > Table/Fig. (AlSiTiCrNbMoTa at 1300°C, Linear kinetics)",45.699999999999996,0.0,443.52000000000004,130000,1,1.1760912590556813
0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,2486.5,0.0514441720269531,1200,1,1.3,20.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiMoHfW oxidation data)",0.0,0.0,0.0,1200,0,1.3010299956639813
0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,2486.5,0.0514441720269531,1200,24,1.3,20.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiMoHfW oxidation data)",0.0,0.0,0.0,28800,0,1.3010299956639813
0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,2486.5,0.0514441720269531,1200,48,1.3,20.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiMoHfW oxidation data)",0.0,0.0,0.0,57600,0,1.3010299956639813
0.0,0.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,2171.2000000000003,0.0405405405405405,800,1,1.3,28.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiZrNbMoHf oxidation data)",0.0,20.0,0.0,800,0,1.4471580313422192
0.0,0.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,2171.2000000000003,0.0405405405405405,800,25,1.3,28.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiZrNbMoHf oxidation data)",0.0,20.0,0.0,20000,0,1.4471580313422192
0.0,0.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,2171.2000000000003,0.0405405405405405,800,50,1.3,28.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiZrNbMoHf oxidation data)",0.0,20.0,0.0,40000,0,1.4471580313422192
0.0,0.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,2171.2000000000003,0.0405405405405405,1000,1,1.0,85.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiZrNbMoHf oxidation data)",0.0,20.0,0.0,1000,0,1.9294189257142926
0.0,0.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,2171.2000000000003,0.0405405405405405,1000,25,1.0,85.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiZrNbMoHf oxidation data)",0.0,20.0,0.0,25000,0,1.9294189257142926
0.0,0.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,2171.2000000000003,0.0405405405405405,1000,50,1.0,85.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiZrNbMoHf oxidation data)",0.0,20.0,0.0,50000,0,1.9294189257142926
20.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,1867.064,0.0528666850960397,1000,1,2.0,8.5,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoNbTi oxidation data)",40.0,0.0,400.0,1000,1,0.9294189257142927
20.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,1867.064,0.0528666850960397,1000,25,2.0,8.5,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoNbTi oxidation data)",40.0,0.0,400.0,25000,1,0.9294189257142927
20.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,1867.064,0.0528666850960397,1000,50,2.0,8.5,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoNbTi oxidation data)",40.0,0.0,400.0,50000,1,0.9294189257142927
20.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,1867.064,0.0528666850960397,1100,1,2.0,15.2,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoNbTi oxidation data)",40.0,0.0,400.0,1100,1,1.1818435879447726
20.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,1867.064,0.0528666850960397,1100,25,2.0,15.2,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoNbTi oxidation data)",40.0,0.0,400.0,27500,1,1.1818435879447726
20.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,1867.064,0.0528666850960397,1100,50,2.0,15.2,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoNbTi oxidation data)",40.0,0.0,400.0,55000,1,1.1818435879447726
20.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,1867.064,0.0528666850960397,1200,1,2.0,28.4,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoNbTi oxidation data)",40.0,0.0,400.0,1200,1,1.4533183400470377
20.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,1867.064,0.0528666850960397,1200,25,2.0,28.4,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoNbTi oxidation data)",40.0,0.0,400.0,30000,1,1.4533183400470377
20.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,1867.064,0.0528666850960397,1200,50,2.0,28.4,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoNbTi oxidation data)",40.0,0.0,400.0,60000,1,1.4533183400470377
20.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,1867.064,0.0528666850960397,1300,1,1.8,42.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoNbTi oxidation data)",40.0,0.0,400.0,1300,1,1.6232492903979006
20.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,1867.064,0.0528666850960397,1300,12,1.8,42.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoNbTi oxidation data)",40.0,0.0,400.0,15600,1,1.6232492903979006
20.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,1867.064,0.0528666850960397,1300,24,1.8,42.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoNbTi oxidation data)",40.0,0.0,400.0,31200,1,1.6232492903979006
20.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,1975.064,0.0528666850960397,1000,1,2.0,5.3,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoTaTi oxidation data)",40.0,0.0,400.0,1000,1,0.724275869600789
20.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,1975.064,0.0528666850960397,1000,24,2.0,5.3,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoTaTi oxidation data)",40.0,0.0,400.0,24000,1,0.724275869600789
20.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,1975.064,0.0528666850960397,1000,48,2.0,5.3,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoTaTi oxidation data)",40.0,0.0,400.0,48000,1,0.724275869600789
20.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,1975.064,0.0528666850960397,1100,1,2.0,9.8,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoTaTi oxidation data)",40.0,0.0,400.0,1100,1,0.9912260756924949
20.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,1975.064,0.0528666850960397,1100,24,2.0,9.8,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoTaTi oxidation data)",40.0,0.0,400.0,26400,1,0.9912260756924949
20.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,1975.064,0.0528666850960397,1100,48,2.0,9.8,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoTaTi oxidation data)",40.0,0.0,400.0,52800,1,0.9912260756924949
20.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,1975.064,0.0528666850960397,1200,1,2.0,22.1,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoTaTi oxidation data)",40.0,0.0,400.0,1200,1,1.3443922736851108
20.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,1975.064,0.0528666850960397,1200,24,2.0,22.1,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoTaTi oxidation data)",40.0,0.0,400.0,28800,1,1.3443922736851108
20.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,1975.064,0.0528666850960397,1200,48,2.0,22.1,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoTaTi oxidation data)",40.0,0.0,400.0,57600,1,1.3443922736851108
20.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,1975.064,0.0528666850960397,1300,1,1.9,38.5,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoTaTi oxidation data)",40.0,0.0,400.0,1300,1,1.5854607295085006
20.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,1975.064,0.0528666850960397,1300,24,1.9,38.5,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoTaTi oxidation data)",40.0,0.0,400.0,31200,1,1.5854607295085006
20.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,1975.064,0.0528666850960397,1300,48,1.9,38.5,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrMoTaTi oxidation data)",40.0,0.0,400.0,62400,1,1.5854607295085006
20.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1713.4640000000002,0.0687614164172528,800,1,2.1,3.2,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrNbTiZr oxidation data)",40.0,20.0,400.0,800,2,0.505149978319906
20.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1713.4640000000002,0.0687614164172528,800,50,2.1,3.2,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrNbTiZr oxidation data)",40.0,20.0,400.0,40000,2,0.505149978319906
20.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1713.4640000000002,0.0687614164172528,800,100,2.1,3.2,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrNbTiZr oxidation data)",40.0,20.0,400.0,80000,2,0.505149978319906
20.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1713.4640000000002,0.0687614164172528,1000,1,2.0,12.5,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrNbTiZr oxidation data)",40.0,20.0,400.0,1000,1,1.0969100130080565
20.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1713.4640000000002,0.0687614164172528,1000,50,2.0,12.5,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrNbTiZr oxidation data)",40.0,20.0,400.0,50000,1,1.0969100130080565
20.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1713.4640000000002,0.0687614164172528,1000,100,2.0,12.5,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrNbTiZr oxidation data)",40.0,20.0,400.0,100000,1,1.0969100130080565
20.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1713.4640000000002,0.0687614164172528,1100,1,1.9,25.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrNbTiZr oxidation data)",40.0,20.0,400.0,1100,1,1.3979400086720377
20.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1713.4640000000002,0.0687614164172528,1100,25,1.9,25.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrNbTiZr oxidation data)",40.0,20.0,400.0,27500,1,1.3979400086720377
20.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1713.4640000000002,0.0687614164172528,1100,50,1.9,25.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlCrNbTiZr oxidation data)",40.0,20.0,400.0,55000,1,1.3979400086720377
19.05,0.0,19.05,0.0,0.0,23.81,19.05,9.52,0.0,9.52,0.0,1894.01696,0.0698012277238854,1000,1,2.0,18.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (AlMoNbTaTiZr variant)",19.05,23.81,0.0,1000,1,1.255272505103306
19.05,0.0,19.05,0.0,0.0,23.81,19.05,9.52,0.0,9.52,0.0,1894.01696,0.0698012277238854,1000,50,2.0,18.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (AlMoNbTaTiZr variant)",19.05,23.81,0.0,50000,1,1.255272505103306
19.05,0.0,19.05,0.0,0.0,23.81,19.05,9.52,0.0,9.52,0.0,1894.01696,0.0698012277238854,1000,100,2.0,18.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (AlMoNbTaTiZr variant)",19.05,23.81,0.0,100000,1,1.255272505103306
19.05,0.0,19.05,0.0,0.0,23.81,19.05,9.52,0.0,9.52,0.0,1894.01696,0.0698012277238854,1100,1,2.0,25.5,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (AlMoNbTaTiZr variant)",19.05,23.81,0.0,1100,1,1.4065401804339552
19.05,0.0,19.05,0.0,0.0,23.81,19.05,9.52,0.0,9.52,0.0,1894.01696,0.0698012277238854,1100,50,2.0,25.5,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (AlMoNbTaTiZr variant)",19.05,23.81,0.0,55000,1,1.4065401804339552
19.05,0.0,19.05,0.0,0.0,23.81,19.05,9.52,0.0,9.52,0.0,1894.01696,0.0698012277238854,1100,100,2.0,25.5,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (AlMoNbTaTiZr variant)",19.05,23.81,0.0,110000,1,1.4065401804339552
19.05,0.0,19.05,0.0,0.0,23.81,19.05,9.52,0.0,9.52,0.0,1894.01696,0.0698012277238854,1200,1,1.8,55.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (AlMoNbTaTiZr variant)",19.05,23.81,0.0,1200,1,1.7403626894942439
